collect_day,good_id,pum_id,pum_name,good_name,sales_price,discount_price,benefit,검색키워드,1개당가격,카탈로그매칭가격,카탈로그 ID,일간검색수,일평균클릭수,일평균클릭률,월간검색수,월평균클릭수,월평균클릭률
2025-02-01,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-02,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-03,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-04,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-05,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-06,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-07,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-08,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-09,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-10,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-11,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-12,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-13,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,4840,4840,0,틈새라면빨계떡,968,19360,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-14,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-15,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-16,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-17,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-18,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-19,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-20,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-21,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-22,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-23,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-24,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-25,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-26,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
2025-02-27,17550423,A01110,라면,팔도 틈새라면빨계떡 120G*5입,3140,3140,0,틈새라면빨계떡,628,12560,53056505854,"1,021",7,1%,"30,630",202,1%
